Branch_Item,From,To,LF_Area,Loss_zone_B,Circuit,Branch_Type,Branch_r,Branch_x,Branch_c,Branch_b,LR_01,LR_02,LR_03,Control_Bus,Branch_a,Branch_phi,MinTap,MaxTap,Stepsize,Min_Vol,Max_Vol,Smax
1,1,2,1,1,1,0,0.01938,0.05917,0.0528,0,0,0,0,0,0,0,0,0,0,0.95,1.05,170
2,1,5,1,1,1,0,0.05403,0.22304,0.0492,0,0,0,0,0,0,0,0,0,0,0.95,1.05,90
3,2,3,1,1,1,0,0.04699,0.19797,0.0438,0,0,0,0,0,0,0,0,0,0,0.95,1.05,90
4,2,4,1,1,1,0,0.05811,0.17632,0.034,0,0,0,0,0,0,0,0,0,0,0.95,1.05,70
5,2,5,1,1,1,0,0.05695,0.17388,0.0346,0,0,0,0,0,0,0,0,0,0,0.95,1.05,50
6,3,4,1,1,1,0,0.06701,0.17103,0.0128,0,0,0,0,0,0,0,0,0,0,0.95,1.05,30
7,4,5,1,1,1,0,0.01335,0.04211,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,70
8,4,7,1,1,1,1,0,0.20912,0,0.978,0,0,0,0,0,0,-8,8,0.1,0.95,1.05,50
9,4,9,1,1,1,1,0,0.55618,0,0.969,0,0,0,0,0,0,-8,8,0.1,0.95,1.05,30
10,5,6,1,1,1,1,0,0.25202,0,0.932,0,0,0,0,0,0,-8,8,0.1,0.95,1.05,70
11,6,11,1,1,1,0,0.09498,0.1989,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,20
12,6,12,1,1,1,0,0.12291,0.25581,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,20
13,6,13,1,1,1,0,0.06615,0.13027,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,30
14,7,8,1,1,1,0,0,0.17615,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,30
15,7,9,1,1,1,0,0,0.11001,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,40
16,9,10,1,1,1,0,0.03181,0.0845,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,20
17,9,14,1,1,1,0,0.12711,0.27038,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,20
18,10,11,1,1,1,0,0.08205,0.19207,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,20
19,12,13,1,1,1,0,0.22092,0.19988,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,20
20,13,14,1,1,1,0,0.17093,0.34802,0,0,0,0,0,0,0,0,0,0,0,0.95,1.05,20
