Bus_Item,Bus_ID,Bus_Name,LoadFlow,LossZone,BusType,V0,Th0,Pd,Qd,Pg0,Qg0,Base_kV,Vgen,Max_MVAR,Min_MVAR,gshb,bshb,n0,Remot_Cont,Scost
1,1,Abel,1,1,2,1.06,0,118.8,24.2,232.4,-16.9,0,1.06,0,0,0,0,0,0,80
2,2,Adams,1,1,2,1.045,-4.98,106.7,22,40,42.4,0,1.045,0,0,0,0,0,0,80
3,3,Adler,1,1,0,1.01,-12.72,198,40.7,0,23.4,0,1.01,0,0,0,0,0,0,80
4,4,Agricola,1,1,0,1.019,-10.33,81.4,16.5,0,0,0,0,0,0,0,0,0,0,80
5,5,Aiken,1,1,0,1.02,-8.78,78.1,15.4,0,0,0,0,0,0,0,0,0,0,80
6,6,Alber,1,1,0,1.07,-14.22,149.6,30.8,0,12.2,0,1.07,0,0,0,0.2,0,0,80
7,7,Alder,1,1,2,1.062,-13.37,137.5,27.5,0,0,0,0,0,0,0,0,0,0,80
8,8,Alger,1,1,2,1.09,-13.36,188.1,38.5,0,17.4,0,1.09,0,0,0,0.2,0,0,80
9,9,Ali,1,1,0,1.056,-14.94,192.5,39.6,0,0,0,0,0,0,0,0.2,0,0,80
10,10,Allen,1,1,0,1.051,-15.1,214.5,44,0,0,0,0,0,0,0,0.2,0,0,80
11,11,Anna,1,1,0,1.057,-14.79,0,0,0,0,0,0,0,0,0,0,0,0,80
12,12,Archer,1,1,0,1.055,-15.07,0,0,0,0,0,0,0,0,0,0,0,0,80
13,13,Arne,1,1,3,1.05,0,291.5,59.4,0,0,0,0,0,0,0,0,0,0,80
14,14,Arnold,1,1,2,1.036,-16.04,213.4,42.9,0,0,0,0,200,-50,0,0.2,0,0,80
15,15,Arthur,1,1,2,1.036,-16.04,348.7,70.4,0,0,0,0,0,0,0,0,0,0,80
16,16,Asser,1,1,2,1.036,-16.04,110,22,0,0,0,0,0,0,0,0,0,0,80
17,17,Aston,1,1,0,1.036,-16.04,0,0,0,0,0,0,0,0,0,0,0,0,80
18,18,Astor,1,1,2,1.036,-16.04,366.3,74.8,0,0,0,0,0,0,0,0,0,0,80
19,19,Attar,1,1,0,1.036,-16.04,199.1,40.7,0,0,0,0,0,0,0,0,0,0,80
20,20,Attila,1,1,0,1.036,-16.04,140.8,28.6,0,0,0,0,0,0,0,0,0,0,80
21,21,Attlee,1,1,2,1.036,-16.04,0,0,0,0,0,0,0,0,0,0,0,0,80
22,22,Aubrey,1,1,2,1.036,-16.04,0,0,0,0,0,0,0,0,0,0,0,0,80
23,23,Austen,1,1,2,1.036,-16.04,0,0,0,0,0,0,0,0,0,0,0,0,80
24,24,Avery,1,1,0,1.036,-16.04,0,0,0,0,0,0,0,0,0,0,0,0,80
