BRANCH;DATA;FOLLOWS;411;ITEMS;;;;;;;;;;;;;;;;
from;to;Area_number;Loss_zone;Circuits;branchtype;r;x;c;rateA;rateB;rateC;cbn;side;a;fi;mintap;maxtap;stepzise;minlimit;maxlimit
37;9001;1;9;1;2;0.00006;0.00046;0;0;0;75;0;0;1.0082;0;0.9043;1.10435;0.004;0;15
9001;9005;1;9;1;0;0.0008;0.00348;0;0;0;0;0;0;0;0;0;0;0;0;0
9001;9006;1;9;1;2;0.02439;0.43682;0;0;0;0;9006;0;0.9668;0;0.9391;1.1478;0.00417;0.99;1.01
9001;9012;1;9;1;2;0.03624;0.64898;0;0;0;0;9012;0;0.9796;0;0.9391;1.1478;0.00417;0.99;1.01
9005;9051;1;9;1;1;0.01578;0.37486;0;0;0;0;9051;0;1.0435;0;0.9391;1.1478;0.00417;0.99;1.01
9005;9052;1;9;1;2;0.01578;0.37486;0;0;0;0;9052;0;0.9391;0;0.9391;1.1478;0.00417;0.99;1.01
9005;9053;1;9;1;1;0.01602;0.38046;0;0;0;0;9053;0;1.0435;0;0.9391;1.1478;0.00417;0.99;1.01
9005;9054;1;9;1;1;0;0.152;0;0;0;0;0;0;1.0435;0;0;0;0;0;0
9005;9055;1;9;1;1;0;0.8;0;0;0;0;0;0;1.0435;0;0;0;0;0;0
9006;9007;1;9;1;0;0.05558;0.24666;0;0;0;0;0;0;0;0;0;0;0;0;0
9006;9003;1;9;1;0;0.11118;0.49332;0;0;0;0;0;0;0;0;0;0;0;0;0
9006;9003;1;9;2;0;0.11118;0.49332;0;0;0;0;0;0;0;0;0;0;0;0;0
9012;9002;1;9;1;0;0.07622;0.43286;0;0;0;0;0;0;0;0;0;0;0;0;0
9012;9002;1;9;2;0;0.07622;0.43286;0;0;0;0;0;0;0;0;0;0;0;0;0
9002;9021;1;9;1;0;0.0537;0.07026;0;0;0;0;0;0;0;0;0;0;0;0;0
9021;9023;1;9;1;0;1.1068;0.95278;0;0;0;0;0;0;0;0;0;0;0;0;0
9021;9022;1;9;1;1;0.44364;2.8152;0;0;0;0;0;0;1;0;0;0;0;0;0
9002;9024;1;9;1;1;0.50748;3.2202;0;0;0;0;0;0;1;0;0;0;0;0;0
9023;9025;1;9;1;1;0.66688;3.944;0;0;0;0;0;0;1;0;0;0;0;0;0
9023;9026;1;9;1;1;0.6113;3.6152;0;0;0;0;0;0;1;0;0;0;0;0;0
9007;9071;1;9;1;1;0.4412;2.9668;0;0;0;0;0;0;1;0;0;0;0;0;0
9007;9072;1;9;1;1;0.30792;2.057;0;0;0;0;0;0;1;0;0;0;0;0;0
9007;9003;1;9;1;0;0.0558;0.24666;0;0;0;0;0;0;0;0;0;0;0;0;0
9003;9031;1;9;1;1;0.73633;4.6724;0;0;0;0;0;0;1;0;0;0;0;0;0
9003;9032;1;9;1;1;0.76978;4.8846;0;0;0;0;0;0;1;0;0;0;0;0;0
9003;9033;1;9;1;1;0.75732;4.8056;0;0;0;0;0;0;1;0;0;0;0;0;0
9003;9044;1;9;1;0;0.07378;0.06352;0;0;0;0;0;0;0;0;0;0;0;0;0
9044;9004;1;9;1;0;0.03832;0.02894;0;0;0;0;0;0;0;0;0;0;0;0;0
9004;9041;1;9;1;1;0.36614;2.456;0;0;0;0;0;0;1;0;0;0;0;0;0
9004;9042;1;9;1;1;1.0593;5.4536;0;0;0;0;0;0;1;0;0;0;0;0;0
9004;9043;1;9;1;1;0.1567;1.6994;0;0;0;0;0;0;1;0;0;0;0;0;0
9003;9034;1;9;1;1;0.13006;1.3912;0;0;0;0;0;0;1;0;0;0;0;0;0
9003;9035;1;9;1;1;0.54484;3.4572;0;0;0;0;0;0;1;0;0;0;0;0;0
9003;9036;1;9;1;1;0.15426;1.6729;0;0;0;0;0;0;1;0;0;0;0;0;0
9003;9037;1;9;1;1;0.3849;2.5712;0;0;0;0;0;0;1;0;0;0;0;0;0
9003;9038;1;9;1;1;0.4412;2.9668;0;0;0;0;0;0;1;0;0;0;0;0;0
9012;9121;1;9;1;0;0.23552;0.99036;0;0;0;0;0;0;0;0;0;0;0;0;0
9053;9533;1;9;1;1;0;0.75;0;0;0;0;0;0;0.9583;0;0;0;0;0;0
1;5;1;1;1;0;0.001;0.006;0;0;0;0;0;0;0;0;0;0;0;0;0
2;6;1;1;1;0;0.001;0.009;0;0;0;0;0;0;0;0;0;0;0;0;0
2;8;1;1;1;0;0.006;0.027;0.054;0;0;0;0;0;0;0;0;0;0;0;0
3;7;1;1;1;0;0;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0
3;19;1;1;1;0;0.008;0.069;0.139;0;0;0;0;0;0;0;0;0;0;0;0
3;150;1;2;1;0;0.001;0.007;0;0;0;0;0;0;0;0;0;0;0;0;0
4;16;1;1;1;0;0.002;0.019;1.127;0;0;0;0;0;0;0;0;0;0;0;0
5;9;1;1;1;0;0.006;0.029;0.018;0;0;0;0;0;0;0;0;0;0;0;0
7;12;1;1;1;0;0.001;0.009;0.07;0;0;0;0;0;0;0;0;0;0;0;0
7;131;1;2;1;0;0.001;0.007;0.014;0;0;0;0;0;0;0;0;0;0;0;0
8;11;1;1;1;0;0.013;0.0595;0.033;0;0;0;0;0;0;0;0;0;0;0;0
8;14;1;1;1;0;0.013;0.042;0.081;0;0;0;0;0;0;0;0;0;0;0;0
9;11;1;1;1;0;0.006;0.027;0.013;0;0;0;0;0;0;0;0;0;0;0;0
11;13;1;1;1;0;0.008;0.034;0.018;0;0;0;0;0;0;0;0;0;0;0;0
12;21;1;1;1;0;0.002;0.015;0.118;0;0;0;0;0;0;0;0;0;0;0;0
13;20;1;1;1;0;0.006;0.034;0.016;0;0;0;0;0;0;0;0;0;0;0;0
14;15;1;1;1;0;0.014;0.042;0.097;0;0;0;0;0;0;0;0;0;0;0;0
15;37;1;1;1;0;0.065;0.248;0.121;0;0;0;0;0;0;0;0;0;0;0;0
15;89;1;1;1;0;0.099;0.248;0.035;0;0;0;0;0;0;0;0;0;0;0;0
15;90;1;1;1;0;0.096;0.363;0.048;0;0;0;0;0;0;0;0;0;0;0;0
16;42;1;1;1;0;0.002;0.022;1.28;0;0;0;0;0;0;0;0;0;0;0;0
